woekers,ks,Ki,find
107.0,2,0.9626454309262886,1
113.0,3,1.5119515752603436,0
93.0,4,2.0023662017662067,0
100.0,4,2.0023662017662067,0
97.0,6,2.316670531477394,0
118.0,6,2.316670531477394,0
115.0,5,2.3317470505627376,0
99.0,6,2.431091317691817,0
95.0,7,2.4414009612931853,0
112.0,7,2.502452309693635,0
119.0,7,2.5225676530573,1
90.0,7,2.6095045414983105,0
105.0,8,2.658459396249291,0
117.0,9,2.7027157229274263,1
120.0,9,2.7027157229274263,0
103.0,9,2.766626750941731,0
116.0,10,2.78890133589782,1
109.0,10,2.8115296316918803,0
111.0,11,2.890069323288426,1
110.0,12,2.920083468131565,0
106.0,12,2.9410070230993153,0
108.0,11,2.942809002354559,0
114.0,12,2.9749567119321054,1
80.0,12,3.0169100295333173,1
101.0,13,3.018901364015064,1
102.0,12,3.0266732407084946,0
104.0,14,3.0796986832249185,1
79.0,14,3.107875151500484,0
91.0,14,3.2045797192937364,0
81.0,15,3.257414651074486,0
94.0,14,3.264847403415563,0
61.0,15,3.355272473976144,0
67.0,19,3.3821518651047677,0
82.0,16,3.422454367171725,0
52.0,17,3.4527734764185176,0
76.0,17,3.4794495019170175,0
92.0,20,3.483896947398428,0
68.0,19,3.497575565911191,0
86.0,21,3.5031923097986972,0
98.0,20,3.5042796887204783,0
96.0,20,3.514751616533162,0
64.0,17,3.536836551117002,0
89.0,22,3.613104171855723,1
56.0,18,3.637725751545196,0
87.0,21,3.6467646202301935,0
66.0,21,3.730705857925325,0
75.0,22,3.780700146686769,0
21.0,17,3.7971538044994615,0
4.0,17,3.798443409580749,0
88.0,21,3.809109464940123,0
70.0,21,3.8500705116382212,0
85.0,24,3.8758136527611162,0
73.0,24,3.8939528887807153,1
83.0,24,3.9211559037455945,1
45.0,21,3.9521983654338673,0
69.0,24,3.954274206213583,0
40.0,21,3.968003929024131,0
77.0,24,3.9880651654171873,1
23.0,19,4.005105002463688,0
54.0,22,4.014541380045861,0
84.0,22,4.056074838722303,1
62.0,24,4.058837920420726,0
71.0,26,4.073115207930257,1
74.0,27,4.095333053137347,0
50.0,24,4.1229907024451045,0
63.0,24,4.14974502349775,1
34.0,22,4.180906301458237,0
20.0,21,4.214802862433708,0
42.0,25,4.221203731675055,0
78.0,27,4.224296287278424,1
57.0,24,4.2410883801197805,0
35.0,21,4.25802593494326,0
9.0,21,4.290589921236354,0
59.0,27,4.331641339521768,1
27.0,24,4.344591658950521,0
11.0,22,4.3784989258181755,0
49.0,25,4.42841182214196,0
65.0,26,4.468863163033033,0
37.0,24,4.517744163421623,0
58.0,30,4.573278151871989,1
53.0,28,4.590197610247996,0
1.0,23,4.623402132554791,0
39.0,27,4.631715390187058,0
51.0,28,4.661649590814872,0
72.0,29,4.674795761304953,1
60.0,24,4.744057791636952,0
30.0,24,4.782824005930033,0
26.0,27,4.813522341829989,0
13.0,26,4.889771169964545,0
44.0,27,4.927034665769872,1
46.0,27,5.050340319955735,1
48.0,29,5.142380899609622,1
6.0,24,5.235004774159459,0
55.0,28,5.249115097913114,0
36.0,27,5.580168214262123,0
12.0,27,5.956207544521025,0
47.0,27,5.958720606362261,1
10.0,27,6.318532856414479,0
38.0,28,6.461198703018613,0
18.0,28,6.558275796288439,0
32.0,27,6.749387713846049,0
29.0,28,6.759418615694407,0
41.0,29,7.397926864750634,0
43.0,28,7.638628979065949,1
22.0,28,7.905998788023336,1
31.0,28,8.359473892181759,1
7.0,28,8.852105617454294,0
28.0,28,9.521590924535076,1
33.0,27,9.743316851062325,1
2.0,28,10.092215446914969,0
15.0,27,10.20945421002407,0
14.0,28,10.682220788741057,1
17.0,30,10.987605250331201,0
8.0,28,11.109844996516127,0
19.0,28,11.178862235721684,1
24.0,28,11.66451755507716,1
16.0,28,11.961087569785372,1
25.0,28,14.602019350068039,1
5.0,27,14.648967997254733,1
3.0,28,14.983927408633964,1
