Acc,Pre,Rec,f1_score
0.815875,0.6278431372549019,0.7534117647058823,0.6849197860962567
0.689375,0.48380900109769487,0.7448246725813266,0.5865912493761438
0.8215,0.6900037439161363,0.7544003274662301,0.7207665232694564
0.777375,0.6762904636920385,0.7755852842809364,0.722542452095342
0.779125,0.6318885448916408,0.7793050782741504,0.6978970764233201
0.818875,0.7376834381551363,0.862703034017775,0.795310072044074
0.676125,0.4411921234699308,0.7715216379711494,0.5613678686304384
0.864375,0.8058179070646014,0.7888313609467456,0.7972341618389087
0.86325,0.6833740831295844,0.974716652136007,0.8034495149119656
0.752,0.5506451612903226,0.7428198433420365,0.6324564653575397
0.665625,0.45262861962327805,0.688622754491018,0.546225614927905
0.722,0.6097240473061761,0.7584177835894083,0.675990675990676
0.876625,0.7557677008750995,0.977366255144033,0.8524001794526695
0.713,0.5444203683640303,0.7660060975609756,0.6364787840405319
0.674,0.43342776203966005,0.715622076707203,0.5398729710656316
0.78425,0.6305776547907298,0.7347843611446997,0.6787043931496649
0.826625,0.7282683093771389,0.7820654171260566,0.7542087542087541
0.819,0.6071428571428571,0.8241919686581782,0.6992106356460325
0.691375,0.46214327315084447,0.7184246265278407,0.5624667729930887
0.754625,0.637292817679558,0.7801826175177545,0.701535654553748
0.72875,0.5285674078243737,0.7914032869785083,0.6338170772865339
0.673625,0.3855721393034826,0.7823892316320807,0.5165710053693761
0.817625,0.7386609071274298,0.7964071856287425,0.766447894989595
0.69875,0.49526270456503013,0.7257046697517879,0.5887372013651877
0.698125,0.5058722429103408,0.7190553745928339,0.5939128972591222
0.70625,0.4372431236168195,0.7081413210445469,0.540656763096169
0.886125,0.7950268817204301,0.8871391076115486,0.8385610490873648
0.657,0.40292397660818713,0.6625,0.501090909090909
0.796,0.712995337995338,0.790885585003232,0.7499233833895188
0.744,0.5208085612366231,0.8007312614259597,0.6311239193083573
