Acc,Pre,Rec,f1_score
0.6285,0.40972074184608825,0.9044705882352941,0.5639671361502347
0.610625,0.42567567567567566,0.9049429657794676,0.5789971617786187
0.612875,0.4371395617070358,0.9308227589029882,0.5948986265533028
0.707,0.5638087712366654,0.954515050167224,0.7088922006954795
0.659375,0.48938301282051283,0.9327987781596029,0.6419655761397977
0.697375,0.577962962962963,0.9564817652467055,0.7205356112201317
0.61675,0.4033719704952582,0.8906468124709167,0.5552654482158399
0.639625,0.4826112298426268,0.9186390532544378,0.6327856324035155
0.5965,0.40882467786021087,0.9128160418482999,0.5647249190938513
0.632125,0.4324607329842932,0.8986074847693647,0.5839106461190443
0.682375,0.477755862371247,0.932420872540633,0.6317924938414723
0.72875,0.5914420901049167,0.9398496240601504,0.726010101010101
0.664875,0.5221739950934139,0.9489026063100137,0.6736457699330493
0.677375,0.5044156911070035,0.9359756097560976,0.6555451754971306
0.59275,0.38755020080321284,0.9027128157156221,0.5422871593144142
0.659625,0.47485453034081465,0.9209995969367191,0.6266282736870973
0.667,0.5056965820507695,0.9298052186696067,0.6551009839461419
0.591875,0.37558494404883014,0.9040156709108716,0.5306885151645825
0.608125,0.40574104234527686,0.9022181982797646,0.5597528437017272
0.67975,0.5384465641424956,0.9354075076090632,0.6834692364714604
0.618125,0.43209876543209874,0.9144542772861357,0.5868830290736984
0.522,0.2956956956956957,0.8283791362871564,0.4358217763352021
0.718,0.5753314584170349,0.9527611443779108,0.7174348697394789
0.656875,0.46093418259023355,0.9133361379890619,0.6126710879074362
0.647875,0.4629134990754058,0.9173452768729642,0.6153215895124949
0.62025,0.3835587035844602,0.9150025601638505,0.5405323653962494
0.645125,0.4832879906723669,0.9325084364454443,0.6366312555996417
0.632625,0.40820688181235304,0.9182692307692307,0.5651723627755585
0.697375,0.5640586331620027,0.9576599870717518,0.7099556726967773
0.581,0.3851617995264404,0.8921389396709324,0.5380374862183022
