workers,ks,KKKj,find
107.0,1,0.6467488898371215,0
113.0,2,2.1963224198828932,0
93.0,4,3.3600417162127014,0
23.0,17,5.475021998383451,0
101.0,8,5.679535123982308,0
64.0,16,6.303843884317242,0
21.0,15,6.377052348537398,0
112.0,6,6.432593285718804,0
100.0,3,7.008756094838882,0
61.0,16,7.088107712027824,0
111.0,4,7.181897002995429,0
94.0,13,7.210007470903392,0
116.0,7,7.44741060500855,0
102.0,10,7.694544789488986,0
59.0,24,7.716441247142401,0
46.0,19,7.812995194909891,0
5.0,19,7.891443322816114,0
105.0,5,8.197998427662473,0
97.0,6,8.245270955440724,1
88.0,19,8.248959468603841,0
79.0,7,8.344995758949763,1
42.0,21,8.446982700093344,0
87.0,21,8.47398482710645,0
63.0,19,8.478689826779519,0
20.0,19,8.509308239319159,0
9.0,19,8.516346047740049,0
47.0,21,8.567197751726322,0
108.0,11,8.577223119743428,1
110.0,13,8.703000477903903,0
82.0,14,8.83802639526482,0
14.0,24,8.960294902877685,0
86.0,19,9.026761227679357,0
30.0,23,9.180662946354062,0
83.0,21,9.191352713778834,0
69.0,24,9.314666729699674,0
54.0,22,9.380264412924358,0
50.0,24,9.420806288708,0
6.0,24,9.571305618060794,0
1.0,20,9.60788655759816,0
51.0,23,9.614836539486433,0
95.0,8,9.758761402997129,0
90.0,7,9.78158366970467,0
49.0,23,9.821034374820746,0
119.0,9,9.821797468229413,0
118.0,7,9.861390181145003,1
117.0,11,9.867918991459348,1
109.0,11,9.88850847929563,1
120.0,7,9.898693078735095,0
115.0,9,9.924124997729795,1
103.0,10,9.925739260933213,0
104.0,13,9.957533679470947,0
73.0,12,10.032209451776557,0
114.0,10,10.092027288383546,1
106.0,17,10.130921822520738,1
81.0,16,10.239055134852219,0
92.0,19,10.265869199418464,1
89.0,17,10.29019033825514,0
67.0,19,10.310679683448452,0
98.0,21,10.317956213969703,0
70.0,16,10.339117191206448,0
91.0,14,10.367986968603379,0
52.0,18,10.384317015470955,0
75.0,23,10.410935866075794,0
80.0,16,10.427113187232749,1
66.0,20,10.445861128048545,0
96.0,17,10.454018774704632,0
71.0,23,10.496253745905243,0
22.0,17,10.51558134668387,0
99.0,18,10.546344772223211,1
68.0,19,10.555034930373168,0
85.0,24,10.563193367271008,0
84.0,17,10.578557555139366,0
62.0,21,10.58937693948373,0
45.0,21,10.590609741909839,0
76.0,17,10.591359477761504,1
38.0,26,10.605357500349058,0
72.0,21,10.617309390533855,0
58.0,23,10.68213146957112,0
34.0,23,10.800685654758414,0
27.0,23,10.811316874701422,0
78.0,23,10.836146405859552,0
77.0,23,10.848207744384084,1
74.0,26,10.916220909052111,1
35.0,23,10.941298655687284,0
44.0,23,10.954777789313283,0
18.0,23,11.000914638101023,0
25.0,24,11.01016181263708,0
37.0,24,11.021116199622604,0
26.0,23,11.05831756554203,0
56.0,21,11.09689097160156,1
28.0,23,11.130015151667797,0
33.0,23,11.158629570954233,0
60.0,23,11.179792825727077,0
53.0,23,11.184743929826897,0
57.0,23,11.257575495459939,1
65.0,23,11.259260286129091,1
39.0,26,11.288588587432223,0
13.0,24,11.435501594346135,0
55.0,24,11.459239112250959,0
48.0,23,11.539274531404825,0
19.0,23,11.603582555580163,0
36.0,23,11.735528345950954,0
31.0,26,11.888381615990157,0
10.0,23,12.111875553497683,0
3.0,24,12.457736656806485,0
43.0,24,12.522409484454549,1
40.0,21,12.74544050613386,1
32.0,26,12.75719963202222,0
29.0,25,12.897499049745942,0
41.0,23,13.059540430599887,0
7.0,26,13.107370559246387,0
16.0,26,13.173117712578598,0
15.0,24,14.654158897500512,1
17.0,24,15.18096731932123,0
8.0,26,15.261594212377044,0
24.0,23,16.20250054469234,0
2.0,23,16.399833418276714,0
11.0,24,17.275099323029323,1
4.0,24,18.279728589228018,1
12.0,24,18.349167984039585,1
