worker,WPCR
43,1.804566755251452e-05
11,2.011115511409145e-05
109,2.084437635611891e-05
47,2.1968401169573937e-05
18,2.673691412866802e-05
28,3.375713538666253e-05
108,3.776877800484163e-05
80,3.776877800484163e-05
92,3.776877800484163e-05
96,3.776877800484163e-05
82,3.776877800484163e-05
100,3.776877800484163e-05
103,3.776877800484163e-05
104,3.776877800484163e-05
106,3.776877800484163e-05
98,3.776877800484163e-05
105,3.776877800484163e-05
38,3.776877800484857e-05
86,3.776877800484857e-05
84,3.776877800484857e-05
64,3.776877800484857e-05
34,5.1340999105614626e-05
45,6.505448367944561e-05
69,7.698919555634148e-05
7,8.196863779381253e-05
95,0.00010622298899389676
48,0.0001062229889939037
74,0.0001062229889939037
79,0.0001062229889939037
73,0.00012789919196661698
67,0.00012968879791493138
21,0.00012980186427355433
52,0.00014115236001190773
97,0.00014299229923635248
5,0.00016746699080816968
23,0.00016869376906265832
2,0.00017445373298871636
55,0.00019345139353362656
15,0.0002000020842140085
56,0.00020509871677749925
51,0.00020745196597089094
89,0.00022347859205821413
40,0.00022504841617196347
75,0.00023406479763047466
6,0.0002464911384205473
53,0.00025257255608088225
63,0.0002599754510304933
30,0.00026025338414897153
71,0.0002649124043544032
81,0.0002649124043544032
46,0.0002649124043544032
87,0.000264912404354431
24,0.0002721388267524355
94,0.00027822750693449333
83,0.00027822750693449333
70,0.00027822750693449333
49,0.0002817472980997174
10,0.000287761113413193
102,0.0002889663047175445
91,0.0002938102483081087
14,0.0002945864193078171
44,0.0002978260992954687
60,0.00029835195149212346
99,0.00030726089811956153
39,0.00030987494825241574
68,0.0003125207016468762
33,0.0003199900237809
4,0.00032340071224362665
22,0.00033145569445847123
61,0.00033830713647341887
54,0.0003478535888190859
37,0.00036441564775305246
76,0.0003673307021358832
32,0.00036956486899091673
17,0.0003721709190564748
1,0.00038602700983827315
62,0.00039096320410111907
27,0.00040137434280310136
41,0.00041939775841424304
88,0.0004198968781905926
57,0.00042369812748822844
13,0.00042558521552456263
26,0.0004309294795340479
65,0.00043521647357505633
72,0.0004494644981452092
19,0.00045786129673284354
58,0.00046340847275359864
85,0.0004684613683964903
90,0.00047082809395160297
8,0.0004926578474542045
36,0.0004953452490974591
42,0.0005108874746200046
59,0.0005363602469128995
50,0.0005852879917437812
77,0.0005904598074276471
107,0.0006005305559474775
9,0.0006032626657894724
25,0.0006686356367810176
35,0.000851831135834348
20,0.0008570411337142925
16,0.0008613927526975526
12,0.0008750403052646058
66,0.000985923827742069
3,0.0013836642621762804
31,0.0014933266642571108
29,0.0016139881441948958
78,0.003180985976622558
93,0.005835788904534862
101,0.005835788904534872
