worker,WPCR
72,3.3349140309210656e-06
32,9.358998509432365e-06
48,1.4701893411274425e-05
69,2.0639598111205776e-05
85,2.4483927732219662e-05
30,2.7673726934109022e-05
84,3.217519260859461e-05
35,3.664104371976784e-05
22,3.8170185274761376e-05
36,3.840554028211596e-05
45,4.0013852478214956e-05
78,5.109494012883742e-05
26,6.012162153007025e-05
64,6.808422495927641e-05
102,7.269373869589132e-05
61,7.400213416587642e-05
65,7.588179947868798e-05
7,7.801227539035518e-05
40,8.255730650586282e-05
44,8.53619715313371e-05
43,8.554688730401383e-05
90,0.00013312062168162678
50,0.00013357990169264589
77,0.00014893625088307702
96,0.0001497614578327422
91,0.0001497614578327526
68,0.00016336060389674986
57,0.0001734108904025769
95,0.00017652781175153676
66,0.00017909518598458948
92,0.0001798924165523942
89,0.000189703212503934
110,0.00020028032610923743
79,0.00020028032610923743
119,0.0002002803261092409
31,0.0002060199961908156
94,0.000210118344563609
53,0.000210118344563609
58,0.00021169922985061
25,0.000217139778936868
62,0.00022133647836272696
60,0.00022262549220442018
80,0.0002294807588979729
106,0.00022948075889798678
63,0.00023002063991412955
81,0.0002358270270611737
98,0.0002452967167028905
67,0.0002455374221404273
99,0.0002455374221404273
49,0.00024695603436333466
108,0.00025383883754564324
115,0.00025383883754564324
101,0.00025383883754565364
93,0.00025383883754565364
83,0.00025383883754565364
52,0.00025518463411560235
109,0.0002599191061979124
117,0.00025991910619791586
73,0.00025991910619792627
100,0.00025991910619792627
51,0.00026294299360560616
71,0.0002674138806673075
87,0.0002916504470138574
75,0.0002916504470138574
88,0.0002916504470138574
97,0.0002916504470138574
86,0.0002916504470138574
104,0.00029165044701387477
114,0.00029165044701387477
105,0.00029165044701387477
118,0.00029165044701387477
112,0.00029165044701387477
120,0.00029165044701387477
59,0.00029187184541969516
74,0.0002934658521897421
23,0.0003003402790617282
41,0.0003033615311418304
76,0.00030899377466877403
38,0.0003294424522903225
17,0.00033762922878997903
19,0.00034678239850521875
70,0.00036046426079738153
27,0.00037206912828593314
20,0.0003770768470421418
42,0.0003804579615279552
37,0.0003875305350761124
13,0.0003893357474620447
34,0.00039818313847575504
47,0.0004316272441243704
33,0.0004379438811086163
116,0.0004610721440949789
82,0.0004671330626466637
4,0.00047398608537885245
8,0.00048161405499910423
12,0.00048286578823782816
2,0.0004910661248653247
55,0.0005509315255642043
54,0.0005808525832515891
9,0.0005852320992712143
24,0.0006503140826472666
21,0.0006831797456453709
39,0.0006914467663313197
103,0.0007620115076202062
28,0.0008165008051803854
6,0.000826134767380006
14,0.0008480048590883103
3,0.0008567367772371326
56,0.0009496099589896348
29,0.0010707295134505489
15,0.0011482802602366428
11,0.0011842635748010553
113,0.0011908950844175675
1,0.0012017484166407348
5,0.001373347672375496
18,0.0016035145790755899
111,0.001832924278244559
10,0.0019668000509885514
46,0.0021058626432707978
16,0.002509002367541348
107,0.004465176678594317
