Acc,Pre,Rec,f1_score
0.668625,0.44065884476534295,0.9190588235294118,0.5956992527070307
0.71175,0.5068926553672316,0.9476130122517955,0.6604829210836277
0.6925,0.4981771391807849,0.950880065493246,0.6538136785814804
0.74675,0.601602023608769,0.954515050167224,0.7380398241530903
0.721625,0.5428134556574924,0.9488354333715159,0.6905655134083647
0.773875,0.6498351195383347,0.966288691388293,0.7770794824399262
0.700125,0.4701242829827916,0.9153094462540716,0.6211905889783672
0.744375,0.572817679558011,0.9585798816568047,0.7171116336976069
0.666875,0.45959485950773254,0.9197907585004359,0.6129266521423384
0.708125,0.4956439839886979,0.9160139251523064,0.6432391138273492
0.7615,0.5538038038038038,0.946535500427716,0.6987685506788759
0.77725,0.6407938257993385,0.9499836547891468,0.7653410587305768
0.714875,0.5643103099048005,0.9554183813443072,0.7095377562714886
0.7425,0.5637432188065099,0.9504573170731707,0.7077185017026107
0.658875,0.43512623490669594,0.9270346117867165,0.592260570745555
0.719375,0.5270518110958275,0.9266424828698105,0.6719275171708314
0.746125,0.5758575197889182,0.9625137816979051,0.7205943045810979
0.650625,0.41616566466265864,0.915279138099902,0.5721720495943671
0.6815,0.46191866996180636,0.9307378904481666,0.6174174174174174
0.745125,0.5967130214917825,0.9577274264457221,0.7352979358691418
0.693875,0.4916812609457093,0.9464812473662031,0.6471689958219278
0.627875,0.3630105553005966,0.8872686483454851,0.5152255333007654
0.76425,0.619914346895075,0.9630738522954092,0.7542991141219385
0.731125,0.5266887104393009,0.9381573411863694,0.6746331871123884
0.674125,0.48369682573958106,0.9120521172638436,0.6321433610836743
0.65225,0.4047783138065702,0.9022017409114184,0.5588328575959404
0.714875,0.5412393162393162,0.9497562804649419,0.6895331427793656
0.670375,0.4355473270076371,0.9048076923076923,0.5880331198250273
0.776125,0.6382346700615319,0.9722042663219134,0.7705904957089791
0.6595,0.44025858225590725,0.9026508226691042,0.591848966137249
