Acc,Pre,Rec,f1_score
0.772625,0.29717514124293787,0.47774750227066304,0.3664228491814699
0.709375,0.0,0.0,0.0
0.766875,0.14459833795013852,0.4484536082474227,0.21868454126518647
0.802375,0.2388955582232893,0.559774964838256,0.33487589398401346
0.749875,0.1780979827089337,0.3495475113122172,0.23596792668957614
0.76,0.16380449141347425,0.2749445676274945,0.20529801324503313
0.798375,0.5908466819221968,0.6422885572139303,0.6154946364719904
0.7145,0.08899944720840243,0.20200752823086573,0.12356101304681504
0.66075,0.0,0.0,0.0
0.7645,0.18763796909492272,0.4521276595744681,0.26521060842433697
0.776875,0.1710114702815433,0.627151051625239,0.26874231872183535
0.722,0.18866126727012864,0.4318429661941112,0.2625994694960212
0.766125,0.27662255828607435,0.37779690189328746,0.3193888686795199
0.701625,0.04821327283040272,0.1070528967254408,0.06648416112631991
0.764375,0.29797703663203934,0.4755671902268761,0.3663865546218487
0.6165,0.0,0.0,0.0
0.78725,0.2776536312849162,0.5485651214128036,0.36869436201780414
0.8145,0.36965711601690937,0.8471474703982778,0.5147155003270112
0.709375,0.09119170984455958,0.23560910307898258,0.13149047441165485
0.79875,0.22016348773841962,0.692967409948542,0.33416046319272125
0.715875,0.1199400299850075,0.3191489361702128,0.17435524881946965
0.802625,0.35652920962199314,0.9110867178924259,0.5125038592158073
0.729,0.037628278221208664,0.12087912087912088,0.057391304347826085
0.806375,0.3258491652274036,0.5995762711864406,0.42223051100335696
0.643125,0.0,0.0,0.0
0.71675,0.32738398776134625,0.4040276903713027,0.36169014084507045
0.706125,0.1917200591424347,0.35363636363636364,0.2486417385746245
0.739125,0.0,0.0,0.0
0.72675,0.06728160607704829,0.2098138747884941,0.1018898931799507
0.773,0.1335061568373299,0.3007299270072993,0.18491921005385997
