workers,ks,KKKj,find
107.0,1,0.6543836965387372,0
113.0,2,2.190311114987549,0
93.0,3,3.2198087703930685,0
43.0,18,5.128064501417564,0
23.0,14,5.316949543363313,0
56.0,18,5.3201463113124525,0
105.0,5,5.689443692764842,0
120.0,7,5.852550358420455,0
64.0,18,6.4086269993602825,0
101.0,10,6.414877229289605,0
22.0,18,6.522435933969907,0
112.0,6,6.524977413053472,0
82.0,14,6.5690762218848,0
115.0,7,6.629360390861317,0
108.0,8,6.635225969743218,0
95.0,8,6.711963679180394,0
106.0,9,6.911998805921055,0
11.0,20,6.970633524197963,0
81.0,14,6.976353437959248,0
91.0,12,6.993028653393381,0
21.0,17,7.014981840730327,0
100.0,4,7.1244623893133605,1
118.0,5,7.2034551915926155,0
97.0,5,7.204463452590927,0
61.0,18,7.235439903432961,0
70.0,17,7.244423693407793,0
94.0,13,7.257882288011572,0
117.0,5,7.263369338653693,0
111.0,5,7.268612483931692,1
68.0,19,7.299106291542675,0
99.0,6,7.366081790968534,0
66.0,19,7.437614934152786,0
119.0,8,7.465492330419599,0
116.0,8,7.502333052837442,1
90.0,7,7.5119384075637345,0
114.0,10,7.610033872441003,0
80.0,10,7.677091695345503,0
103.0,11,7.690032776085365,0
102.0,10,7.70551948414225,0
59.0,20,7.740107992599238,0
104.0,13,7.772090578778517,0
79.0,13,7.7987033244014565,0
73.0,12,7.821613771921755,0
109.0,9,7.823740790651543,0
46.0,19,7.862463991109071,0
76.0,13,7.954740494758926,0
89.0,16,7.9989916108609265,0
110.0,13,8.003189990603419,0
5.0,20,8.009388616129025,0
96.0,17,8.02318060327238,1
98.0,19,8.107393185034136,0
75.0,20,8.159307710188216,1
88.0,19,8.164655095244534,1
52.0,18,8.189896587178453,0
84.0,18,8.192444014863858,0
4.0,15,8.22922188522599,0
77.0,20,8.265815038082467,0
67.0,19,8.291904924612584,0
92.0,19,8.29765346237927,0
86.0,20,8.340939916983418,0
83.0,20,8.342529165893556,1
72.0,20,8.440605652380738,0
50.0,20,8.452521204772982,0
42.0,20,8.45599718584729,0
87.0,20,8.467025147004929,1
47.0,20,8.487299266993073,0
63.0,20,8.499765242086148,0
71.0,21,8.508916266727454,0
20.0,19,8.550812340412502,0
85.0,20,8.550957267840872,0
69.0,22,8.56696350214185,0
9.0,20,8.583055153092719,0
78.0,21,8.586488530646832,0
54.0,19,8.607071786385369,0
27.0,21,8.610956623276891,0
45.0,20,8.611468969313819,0
74.0,24,8.624063267486193,0
62.0,20,8.625320226313011,0
44.0,20,8.683093088917968,0
58.0,21,8.714797870377385,0
51.0,24,8.733490366085224,0
34.0,20,8.780844559438954,0
39.0,22,8.79849840758385,0
57.0,22,8.814870027326545,0
35.0,20,8.845482153284177,0
1.0,19,8.847858037943997,0
65.0,20,8.868598350709881,0
28.0,22,8.877568249083179,0
14.0,22,8.919723830340985,0
37.0,20,8.920033707710747,0
53.0,23,8.973746112656606,0
33.0,21,8.995345679308555,0
12.0,20,9.062878642709205,0
49.0,20,9.068736467088218,0
26.0,22,9.122847312806517,0
60.0,22,9.144906803795765,0
30.0,22,9.165365261975134,0
55.0,22,9.41961073641857,0
6.0,20,9.506155168339943,0
48.0,25,9.542965506582966,0
31.0,22,9.621382594545603,0
19.0,23,9.667563087092194,0
36.0,22,9.779935593519987,0
38.0,25,9.905901019529,0
18.0,25,10.326244614987434,0
32.0,25,10.529680930545666,0
3.0,25,10.532749829958346,0
41.0,25,10.87377482497579,0
29.0,25,10.875001171084271,0
40.0,20,10.941708381112797,1
25.0,22,11.556583942001982,1
13.0,22,11.93606141954398,1
10.0,22,12.2414452919045,1
7.0,25,12.391428567526447,0
16.0,25,12.457570919109184,0
15.0,22,12.726295533527118,0
17.0,24,13.233520175527776,0
8.0,25,13.352234376203965,0
24.0,24,13.980147333595689,0
2.0,25,14.02359248615524,0
